Legal Name,U SDOT Number,MC/MX/FF Numbers,Physical Address
MONT CARMEL SERVICES LLC,3650227,MC-1257900,"3003 BLUFF HILL LANE
 
 CHARLOTTE, NC   28215"
MONTABI ENTERPRISES LLC,3838385,MC-1404303,"3720 QUAIL HOLLOW RD
 
 HARKER HTS, TX   76548"
MOONDOG FREIGHT INC,3711291,MC-1302609,"6509 N HAMILTON AVE APT 3N
 
 CHICAGO, IL   60645"
MOONHER TRANSPORTATIONS LLC,3863947,MC-1412422,"326 MARIA LORETTA LN
 
 GALLOWAY, NJ   08205"
MOONLIGHT EXPRESS INC,3849921,MC-1402941,"7413 IRVINE AVE
 
 N HOLLYWOOD, CA   91605"
MOONLIGHT TRANZ INC,3857231,MC-1407938,"1420 JOSEPH MENUSA LN
 
 TRACY, CA   95377-5615"
MOORE ADVANTAGE TRANSPORT CORP,3716057,MC-1306103,"814 SUDBURY DR
 
 JOLIET, IL   60435"
MOORE BETTER TRANSPORTATION,3864309,MC-1412647,"8032 22ND AVE # 5081
 
 KENOSHA, WI   53143"
MORALITY ENTERPRISES LLC,3833784,MC-1391710,"2020 DE SOTO DR
 
 MIRAMAR, FL   33023"
MORAN TRUCKING INC,3860034,MC-1409794,"2514 FORSYTHIA DR
 
 ROCKFORD, IL   61102"
MORE XPRESS USA LLC,3748149,MC-1329452,"13234 SW 200TH TER
 
 MIAMI, FL   33177"
MORGANO FREIGHT BROKER,3865064,MC-1413192,"1045 ASTOUNDING HILLS DR
 
 HENDERSON, NV   89052"
MORNING STAR TRANSPORT LLC,3797506,MC-1365509,"510 GINKGO TER NE
 
 LEESBURG, VA   20176"
MORONTA TRUCKING LLC,3818771,MC-1381063,"14 WARNER ST
 
 HAMDEN, CT   06514"
MORPHY TRANSPORTATION INC,3852515,MC-1404700,"3636 HARRISON AVE
 
 BUTTE, MT   59701"
MORRIS CREEK LOGISTICS LLC,3863994,MC-1412459,"5216 GROVE COVE DR
 
 MCKINNEY, TX   75071"
MORTON HAULING LLC,3825842,MC-1386054,"695 LAKESTONE RD
 
 WAVERLY, TN   37185"
MOSS TRUCKING & LOGISTICS LLC,3857958,MC-1408394,"2039 BLUESTREAM COURT
 
 CENTERVILLE, OH   45459"
MOTA TRANSPORTATION INC,3853926,MC-1405663,"2824 ROSE ST APT GW
 
 FRANKLIN PARK, IL   60131"
MOTHERLAND LOGISTICS LLC,3728622,MC-1315307,"4742 SHIRE DR
 
 LITHONIA, GA   30038"
MOVERS CHOICE LLC,3160446,MC-110794,"1711 MOORE ST
 
 RICHMOND, VA   23220"
MOVING AMERICA INC,3414307,MC-1101766,"5880 SW 15TH ST
 
 PLANTATION, FL   33317"
MOVIX TRANSPORT LLC,3737236,MC-1321555,"2401 LA PARRA LN
 
 LAREDO, TX   78046"
MP TRANSPORT INC,3863117,MC-1411842,"11101 SE 208TH ST APT 1034
 
 KENT, WA   98031"
MPACT INVESTMENT SOLUTIONS LLC,3862790,MC-1411627,"3830 AURORA MIST LN
 
 HOUSTON, TX   77053"
MSQUARE TRUCKING LLC,2872435,MC-963373,"744 BRICK ROW APT 2123
 
 RICHARDSON, TX   75081"
MT MOVERS AND STORAGE LLC,2957519,MC-2764,"3296 WESTERVILLE RD UNIT #105
 
 COLUMBUS, OH   43224"
MT TRANSPORTATION LLC,3767528,MC-1343704,"1504 MYSTIC ST
 
 HOUSTON, TX   77020"
MTB HOTSHOT LLC,3865645,MC-1413629,"2932 W WESTLAND RD
 
 PHOENIX, AZ   85085"
MTHS TRUCKING LLC,3194384,MC-140213,"40438 KINBURN DR
 
 STERLING HEIGHTS, MI   48310"
MTJ TRANS LLC,3859388,MC-1409349,"439 JACK POND RD
 
 MASON, TN   38049"
MUD MONSTER GARAGE LLC,3317883,MC-1366278,"817 E MAIN ST
 
 DURANT, OK   74701"
MUGUERCIA EXPRESS CORP,3835337,MC-1411731,"91 LAKE ARBOR DR
 
 PALM SPRINGS, FL   33461"
MULDER N SONS TRUCKING LLC,3849029,MC-1402338,"2052 N 800 E
 
 LOGAN, UT   84341"
MULTIS EXPRESS LTD,3862673,MC-1411541,"2216 JEFFERSON AVE
 
 READING, PA   19609"
MUNNERLYN TRUCKING LLC,3821922,MC-1395150,"808 HIGHWAY 378 STE A
 
 LEXINGTON, SC   29072-8379"
MURPH DOG TRUCKING LLC,3864231,MC-1412602,"5419 SUNSET VIEW DR
 
 MONONGAHELA, PA   15063"
MUTANT TRANSPORT CANADA INC,3839711,MC-1395906,"12642 70A AVE
 
 SURREY, BC   V3W 2J4"
MV AUTO SHIPPING LLC,3862111,MC-1411188,"1751 W WALKER ST APT 12306
 
 LEAGUE CITY, TX   77573"
MX2 ENTERPRISES LLC,3855716,MC-1411534,"2937 192ND ST
 
 LANSING , IL   60438"
MYBLUE LOGISTICS LLC,3829750,MC-1388810,"219 PAMELA DR
 
 BOLINGBROOK, IL   60440"
MYERS HEAVY EQUIPMENT LLC,3839647,MC-1395866,"156 DIXON ST
 
 LEXINGTON, NC   27292"
MYKASSA LLC,2114370,MC-1410650,"3951A SW 30 AV
 
 FORT LAUDERDALE, FL   33312"
MYLES KEN LOGISTICS LLC,3618846,MC-1235376,"520 ASHDALE DR
 
 FORT WORTH, TX   76140"
MYSTERII TRUCKING LLC,3850738,MC-1403518,"538 MOUNT VERNON RD
 
 WURTSBORO, NY   12790"
N & J EXPRESS AUTO TRANSPORT LLC,3856225,MC-1407211,"3501 NW 170TH ST
 
 MIAMI GARDENS, FL   33056"
N & N TRUCKING,3864471,MC-1412760,"1264 E JUDI ST
 
 CASA GRANDE, AZ   85122"
N & W AUTO LLC,3163865,MC-113129,"217 1ST AVE E
 
 GLENHAM, SD   57631"
N YOUNG INVESTING ENTERPRISE LLC,3854471,MC-1406030,"5900 BALCONES DR STE 100
 
 AUSTIN, TX   78731"
N&A EXPRESS INC,3847791,MC-1401509,"1010 OLDHAM CT
 
 BENSALEM, PA   19020"
NAMOJA VENTURE LOGISTICS LLC,3689636,MC-1286678,"10448 DORSET DR UNIT 22
 
 JOHNSTON, IA   50131"
NARINE FINANCIAL LLC,3479289,MC-1141323,"780 SEAVIEW AVE UNIT 5
 
 BRIDGEPORT, CT   06607"
NATIONAL CARGO LLC,3820344,MC-1382202,"3320 27TH ST
 
 PORT ARTHUR, TX   77642"
NATIONWIDE FREIGHT BROKERS LLC,3866569,MC-1414260,"8119 SKYECROFT COMMONS DR
 
 WAXHAW, NC   28173"
NATIONWIDE MOVING & STORAGE LLC,3841200,MC-1396959,"205 JEFFERSON ST UNIT 2251
 
 PERTH AMBOY, NJ   08862"
NAV TRANSPORT INC,3844948,MC-1399557,"341 E MONTE VISTA AVE APT 63
 
 TURLOCK, CA   95382"
NBD TRANSPORTATION LLC,3825249,MC-1385611,"31 BOLAND CT
 
 GREENVILLE, SC   29615"
NEBI TRUCKING LLC,3755316,MC-1334726,"933 N 198TH ST APT 1
 
 SHORELINE, WA   98133"
NEDAL LLC,3858305,MC-1408639,"6500 HARBOR TOWN DR. APT 2901
 
 HOUSTON, TX   77036"
NEED 2 TRADE LLC,3851064,MC-1403730,"109 N 5TH ST STE 2
 
 SADDLE BROOK, NJ   07663"
NEEDMORE TRUCKING LLC,3809574,MC-1374269,"290 VERSAILLES RD
 
 CLEVELAND, NC   27013"
NEENO TRUCKING LLC,3842093,MC-1397583,"14368 LANSON AVE
 
 DEARBORN, MI   48126"
NEHEDAR ENTERPRISE LLC,3624309,MC-1239174,"9711 16TH AVE S
 
 TACOMA, WA   98444"
NEIGHBORHOOD LOGISTICS LLC,3840735,MC-1396627,"1110 COWAN RD STE B-2069
 
 GULFPORT, MS   39507"
NEIGHBORS TRANSPORT LLC,3856533,MC-1407418,"4832 BRETON RD SE
 
 KENTWOOD, MI   49508"
NEIL MARABLE TRUCKING LLC,3195067,MC-1413732,"1072 CLOUSE RD
 
 BROKEN BOW, OK   74728"
NEOYACO LLC,3605454,MC-1226172,"7950 NW 53RD ST STE 337
 
 MIAMI, FL   33166"
NESLER AND SONS TRANSPORT INC,3142541,MC-1408435,"407 MAIN ST
 
 OSTRANDER, MN   55961"
NESTOR DANIEL VILLASENOR,3813985,MC-1377514,"9765 MARCONI DR STE 105
 
 SAN DIEGO, CA   92154"
NEW ERA CARRIERS LLC,3827857,MC-1387478,"5533 SOUTHWYCK BOULEVARD
 
 TOLEDO, OH   43614"
NEW ERA HAULERS LLC,3863402,MC-1412047,"4800 WILLOW BRANCH CT
 
 CROWLEY, TX   76036"
NEW ERA TRANSPORT LLC,3846292,MC-1400481,"34 WEST GEORGIA AVENUE
 
 MEMPHIS, TN   38103"
NEWA TRANSPORTATION CORPORATION,3843130,MC-1398281,"3060 OGDEN AVE STE 107
 
 LISLE, IL   60532"
NEWBERRY J & C FARM LLC,3696997,MC-1292054,"27106 SW 127TH AVE
 
 NEWBERRY, FL   32669"
NEWTON'S EYES LLC,3837195,MC-1394115,"26640 FORT FISHER CT
 
 N DINWIDDIE, VA   23803"
NEWTONS TRUCKING LLC,3820958,MC-1382630,"3224 CELESTE RD APT 63
 
 CLEBURNE, TX   76033"
NEXTSHIPP LLC,3837823,MC-1394580,"9307 BLUEGRASS RD
 
 KNOXVILLE, TN   37922"
NICHOLAS TAYLOR INC,3864003,MC-1412468,"254 PINNACLE XING
 
 SHELBY, NC   28152"
NICK DUNKAVICH III,3095431,MC-74351,"24 HAZEL DRIVE
 
 HAMPSTEAD, NH   03841"
NICKIIS TRUCKING LLC,3669151,MC-1271618,"22 ASTRO CT
 
 PARKVILLE, MD   21234"
NICKS TRANSPORTATION LLC,3824548,MC-1385100,"1626 LARKSPUR DR
 
 MOUNTAINSIDE, NJ   07092"
NIGHT EXPRESS TRANSPORT LLC,3856860,MC-1407635,"5516 W DEERCREST DR
 
 W VALLEY CITY, UT   84120"
NIHAL TRUCKING LLC,3845664,MC-1400040,"451 CALVERT RD
 
 N BRUNSWICK, NJ   08902"
NIMA TRANS LLC,3861900,MC-1411037,"1569 N REDHAWK DR
 
 PERRYSBURG, OH   43551"
NITRO HAULING LLC,3852130,MC-1404430,"10 DUNE DR
 
 BAYVILLE, NJ   08721"
NJ LOGISTICS SOLUTIONS INC,3866780,MC-1414394,"11080 NW 38TH ST
 
 CORAL SPRINGS, FL   33065"
NJ-GEN LOGISTICS LLC,3857275,MC-1407930,"3601 BROAD OAK DR
 
 CHARLOTTE, NC   28273"
NK PERFORMANCE INC,3830096,MC-1389050,"1480 JEFFERSON ST APT 405
 
 DES PLAINES, IL   60016"
NNB INVESTMENTS LLC,3861242,MC-1410609,"3952 RAINEY RD
 
 JACKSON, MS   39212"
NNGE INC,3842001,MC-1397528,"380 AVENUE U APT 2B
 
 BROOKLYN, NY   11223"
NO DAYS OFF TRUCKING CO INC,3855743,MC-1406889,"10500 FOUNTAIN LAKE DR APT 214
 
 STAFFORD, TX   77477"
NOAH WATTS,3490870,MC-1411802,"19579 HARVEST LANE
 
 MENA, AR   71953-3519"
NOBEL TRANS INC,3846158,MC-1400389,"8600 WAUKEGAN RD UNIT 509
 
 MORTON GROVE, IL   60053"
NOBLE CARRIERS LLC,3850505,MC-1403346,"1307 MAPLE ST
 
 SILVERTON, OR   97381"
NOMADIC TRUCKING LLC,3864571,MC-1412821,"8340 N THORNYDALE RD STE 110
 
 TUCSON, AZ   85741"
NOOR EXPRESS LOGISTICS INC,3863705,MC-1412262,"470 W BROAD ST PMB 818
 
 COLUMBUS, OH   43215"
NORTHCOAST FREIGHT & LOGISTICS LLC,3050301,MC-49480,"9209 HEATHERFIELD LN
 
 SAGINAW, MI   48609"
NORTHEAST LOAD TRANSPORTATION LLC,3858690,MC-1408886,"80 GUELPHWOOD RD
 
 SOUTHBRIDGE, MA   01550"
NORTHWEST MOVING GROUP INC,3810784,MC-1396067,"10506 STEELE ST S STE C
 
 LAKEWOOD, WA   98499-8730"
NOVTORG INC,3859084,MC-1409146,"1625 SHERIDAN RD UNIT 313
 
 WILMETTE, IL   60091"
NUNO'S EXPRESS,3854013,MC-1405717,"8538 SW 214TH WAY
 
 CUTLER BAY, FL   33189"
NXC TRUCKING & LOGISTICS LLC,3697803,MC-1396419,"2896 VINING RIDGE TERRACE
 
 DECATUR, GA   30034"
NXT GEN LOGISTICS LLC,3854532,MC-1406062,"10310 W BEARDSLEY RD UNIT 1002
 
 PEORIA, AZ   85382"
NYCT TRUCKING LLC,3819879,MC-1381863,"51 CURTISS ST
 
 HARTFORD, CT   06106"
O DISTANCE EXPRESS INC,3705200,MC-1298084,"17028 COLIMA RD APT 108
 
 HACIENDA HEIGHT, CA   91745"
OAW ENTERPRISE LLC,3501802,MC-1349714,"265 MITCHELL RD #333
 
 NORCROSS, GA   30071"
O'BEIRNE & SONS TRUCKING LLC,392938,MC-1413466,"26379 360TH STREET
 
 SHEVLIN, MN   56676"
OCEAN HAULING EXPRESS INC,3858711,MC-1408903,"6026 S MOZART ST
 
 CHICAGO, IL   60629"
O'CONNOR FARM TRANSPORTATION LLC,3831816,MC-1390296,"650 US HIGHWAY 42 E
 
 WARSAW, KY   41095"
OCS TRANSPORTATION LLC,3858861,MC-1408998,"3421 MORRELL AVE
 
 KANSAS CITY, MO   64123"
ODL TRANSPORTATION LLC,3823593,MC-1384410,"307 W EXPRESSWAY 83 STE B
 
 SULLIVAN CITY, TX   78595"
OGM TRUCKING LLC,3865461,MC-1413497,"440 OAK TERRACE DR
 
 COVINGTON, GA   30016"
OH WELL TRUCKING CORP,3855179,MC-1410819,"31 W GRANADA AVE
 
 LINDENHURST, NY   11757-6442"
OLDEN EXPRESS LLC,3852699,MC-1404825,"9940 RICHMOND AVE APT 1014
 
 HOUSTON, TX   77042"
OLEA'S HAULING LLC,3841423,MC-1409407,"6939 BEARD RD
 
 NEEDVILLE, TX   77461-8591"
OLEG KOSENKO,3857769,MC-1408274,"7309 W 109TH ST
 
 BLOOMINGTON, MN   55438"
OLIVER SPORTS & ENTERTAINMENT LLC,3820668,MC-1382432,"1 INDUSTRIAL CT UNIT B
 
 RIVERSIDE, RI   02915"
OLK LOGISTIC LLC,3831214,MC-1389850,"23568 PLUMBROOKE DR
 
 SOUTHFIELD, MI   48075"
OMEGA GROUP WEST LLC,3865377,MC-1413429,"1517 NE 155TH AVE
 
 VANCOUVER, WA   98684"
OMEGA INFRASTRUCTURE SOLUTIONS LLC,3676339,MC-1413463,"5840B MOHAN RD #2
 
 GILLETTE, WY   82718-6937"
OMELNOOR LLC,3809567,MC-1374258,"536 GLEN ARBOR CIR APT 203
 
 CORDOVA, TN   38018"
ON A MISSION TRANSPORTATION LLC,3793729,MC-1384396,"3242 PIKES PEAK DR
 
 GASTONIA, NC   28052-5441"
ON MY WAY DELIVERIES LLC,3856657,MC-1407509,"6565 HOLLISTER ST APT 614
 
 HOUSTON, TX   77040"
ON THA GO LLC,3844616,MC-1399338,"5847 GLEN GROVE ST
 
 HUMBLE, TX   77396"
ON TIME MOVING SERVICE LLC,3866622,MC-1414296,"250 PLAZA BLVD APT C11
 
 MORRISVILLE, PA   19067"
ON WAY TRANSPORTATION LLC,3703179,MC-1296598,"1359 N 1ST AVE
 
 UPLAND, CA   91786"
ONDEMAND MOVERS LLC,3618480,MC-1235132,"125 S WACKER DR STE 300
 
 CHICAGO, IL   60606"
ONE BROKERAGE LLC,3862207,MC-1411244,"530B HARKLE RD STE 100
 
 SANTA FE, NM   87505"
ONE GONE TRANSPORTATION AND LOGISTICS LLC,3865352,MC-1413413,"310 CLIFF RIDGE LN
 
 VENUS, TX   76084"
ONE RESPECT EXPRESS CORP,3823084,MC-1384074,"1000 OCEAN PKWY APT 5R
 
 BROOKLYN, NY   11230"
ONE RYDER TRANSPORTATION LLC,3231721,MC-1412106,"221 LAUREL AVE
 
 GOOSE CREEK, SC   29445"
ONE SHOT TRANSPORT LLC,3854869,MC-1406286,"471 N 16TH AVE
 
 BRIGHTON, CO   80601"
ONE WAY TRANSPORT LLC,3858991,MC-1409084,"3417 LAKESIDE VIEW DR
 
 FALLS CHURCH, VA   22041"
ONYX CARRIERS LLC,3850002,MC-1402993,"137 STANHOPE DR UNIT C
 
 WILLOWBROOK, IL   60527"
OPEN ROAD AUTO TRANSPORT LIMITED LTD,3748614,MC-1329813,"22 BICKET LN
 
 N KINGSTOWN, RI   02852"
OPEN SEA MARINE CORP,3741182,MC-1324423,"263 NW 40TH ST
 
 MIAMI, FL   33127"
OPEN SEA TRUCK LINES INC,3841792,MC-1397367,"353 WILD ROSE WAY NW
 
 EDMONTON, AB   T6T 1P3"
OPENFREIGHT LLC,3832413,MC-1390750,"517 W RIDGE DR
 
 COLLEGE STA, TX   77845"
OPTIMAL AUTO TRANSPORT LLC,3356446,MC-1074030,"1878 FRENCHTOWN CTR DR
 
 MONROE, MI   48162"
ORANGE LOGISTICS LLC,3835985,MC-1393230,"1701 DRESDEN RD APT C
 
 HENRICO, VA   23229"
ORANGE STATE EXPRESS LLC,3835370,MC-1392808,"1013 BEAR DRIVE
 
 NEWFOUNDLAND, PA   18445"
ORCA TRANSPORTATION LLC,3671133,MC-1273048,"6340 SECURITY BLVD STE 100
 
 GWYNN OAK, MD   21207"
ORIGIN FREIGHT BROKERAGE LLC,3866499,MC-1414209,"9861 SCOTT CT
 
 INDIANAPOLIS, IN   46235"
ORLAM'S TRUCKING LLC,3836359,MC-1393521,"1210 ANDOVER RD
 
 BETHLEHEM, PA   18018"
ORROS TRANSPORTATION LLC,3438790,MC-1408725,"21366 BEACON SPRINGS LN
 
 KATY, TX   77449-5355"
ORTEGA'S TRANSPORTATION LLC,3863646,MC-1413639,"33319 N SLATE CREEK DR
 
 SAN TAN VLY, AZ   85143-3415"
ORTIZA MULTI GROUP LLC,3856565,MC-1407441,"7200 N KICKAPOO-EDWARDS RD
 
 EDWARDS, IL   61528"
OSBORNE TOWING SERVICE LLC,3864327,MC-1412663,"417 WINDRIDGE DR
 
 DEATSVILLE, AL   36022"
OSMANI TRANSPORTATION INC,3809896,MC-1374518,"3159 HEATHERSIDE DR
 
 DUBLIN, OH   43017"
OSORIA TRANSPORTATION LLC,3862002,MC-1411118,"1424 SPRUCE ST
 
 READING, PA   19602"
OSP CORP,3826727,MC-1386692,"12478 HIDDEN RUN RD
 
 GUTHRIE, OK   73044"
OSV TRUCKING,3858601,MC-1408826,"5097 SAN LUIS TER
 
 NORTH PORT, FL   34286"
OSY GROUP INC,3866068,MC-1413928,"9435 WATERSTONE BLVD STE 140-148
 
 CINCINNATI, OH   45249"
OUTLET TRANSPORT LLC,3858018,MC-1408448,"3610 OUTLET RD
 
 SHORTSVILLE, NY   14548"
OX BLOOD TRANSPORTATION LLC,3817426,MC-1380072,"4508 WESTCLIFFE DR
 
 MANSFIELD, TX   76063"
OZONE TRANSPORT LLC,3832152,MC-1390563,"23 CONA CT
 
 HALEDON, NJ   07508"
P 2 P TRANSPORT LLC,3866865,MC-1414449,"883 S REBECCA ST APT 2
 
 POMONA, CA   91766"
P D P TRANSPORT CORP,3848940,MC-1402277,"493 E 29TH ST
 
 PATERSON, NJ   07514"
P&D HOODA EXPRESS,3817258,MC-1379969,"3520 N STANLEY AVE
 
 FRESNO, CA   93737"
P&I LOGISTICS INC,3863801,MC-1412325,"913 CONKEY ST
 
 HAMMOND, IN   46320"
P&J GLOBAL LOGISTICS LLC,3794703,MC-1408757,"8720 MYLANDER LN APT 3212
 
 TOWSON, MD   21286-2111"
P&J TRANSPORT SERVICES LLC,3866577,MC-1414266,"618 FIRST ST
 
 LAWRENCEVILLE, GA   30046"
P3 RENTALS LLC,3721405,MC-1310009,"72400 GALLATIN RD
 
 GALLATIN GTWY, MT   59730"
PACIFIC NW TRUKING INC,3850558,MC-1403389,"2332 LONGMONT DR
 
 WAKE FOREST, NC   27587"
PACKING KINGS LLC,3835443,MC-1392863,"816 DEKALB ST FL 2
 
 BRIDGEPORT, PA   19405"
PAIR-A-DICE TOURS OF WISCONSIN LLC,3851714,MC-1404164,"317 RIVERVIEW DR
 
 MANITOWOC, WI   54220"
PAK EXPRESS TRANSPORT LLC,3833745,MC-1391687,"42245 GLASCOCK FIELD DR APT 306
 
 STERLING, VA   20166"
PALE RIDER TRANSPORT LLC,3856916,MC-1407675,"13118 ROARING SPRINGS LN
 
 DALLAS, TX   75240"
PALOMITA BLANCA LLC,3862998,MC-1411764,"107 AVENUE K
 
 HALE CENTER, TX   79041"
PAM'S TRUCKING LLC,3858610,MC-1408832,"1701 PATTON DR
 
 ODESSA, TX   79761"
PANTHERS PCU LLC,3299454,MC-1412247,"2951 NW 9TH CT
 
 FT LAUDERDALE, FL   33311"
PAPA BEAR TRUCKING LLC,3809501,MC-1404232,"1782 FIOCCHI DR APT A
 
 VINELAND, NJ   08360-2441"
PAPER ROUTE ENTREPRENEUR EMPIRE,3855420,MC-1406669,"1013 COOLIDGE ST
 
 TUPELO, MS   38801"
PAPERWORKS INDUSTRIES INC,3801036,MC-1368139,"40 MONUMENT RD STE 200
 
 BALA CYNWYD, PA   19004"
PARA BELLUM TRANSPORT,3863150,MC-1411873,"11990 LASSELLE ST
 
 MORENO VALLEY, CA   92557"
PARAMOUNT LOGISTICAL SERVICES CORP,3830265,MC-1390050,"260 MARSH ST
 
 ELIZABETH, NJ   07030"
PARAMOUNT LOGISTICS GROUP LLC,3845200,MC-1399728,"287 OGLETHORPE CIR
 
 MONCKS CORNER, SC   29461"
PARKORR TRUCKING LLC,3830519,MC-1410551,"1842 INDIAN WELLS DR
 
 MISSOURI CITY, TX   77459"
PARS TRANSPORTATION LLC,3750298,MC-1331062,"15021 NORTHCOTE LN
 
 BOWIE, MD   20716"
PARTLOW'S SAFE TRUCKING LLC,3838964,MC-1395366,"5436 WILLOW OAK DR
 
 HORN LAKE, MS   38637"
PASSINGBY LLC,3856564,MC-1407439,"1303 S INGALLS ST
 
 LAKEWOOD, CO   80232"
PASSPORT TRANSPORT INC,3824140,MC-1384802,"7805 GOLDEN RING WAY
 
 ANTELOPE, CA   95843"
PATHWAY TRANSPORT LLC,3819019,MC-1391262,"1150 BROAD ST
 
 SUMTER, SC   29150"
PATRIARCH TRUCKING LLC,3753381,MC-1406753,"68500 MORRISTOWN FLUSHING RD
 
 FLUSHING, OH   43977-9775"
PAUL M NDEGWA,3711605,MC-1303112,"952 SW CAMPUS DR #36C3
 
 FEDERAL WAY, WA   98023"
PB TRANS INC,3790305,MC-1360263,"2768 HALFAKER WAY
 
 GREENWOOD, IN   46143"
PB07 TRANS INC,3836986,MC-1393962,"1696 FOUDRAY CIR S
 
 AVON, IN   46123"
PBX3 TRANS INC,3864639,MC-1412885,"632 PRIMAVERA DR
 
 ARLINGTON, TX   76002"
PDS TRANSPORT LLC,3828470,MC-1387889,"16979 SE HUCKLEBERRY ST
 
 HAPPY VALLEY, OR   97086"
PENUELLI TRANSPORT LLC,3856061,MC-1407101,"124 E OLINDA AVE UNIT 2
 
 DES MOINES, IA   50315"
PEREZ & SON LOGISTICS INC,3816074,MC-1379093,"3451 MICHAEL DR
 
 REDWOOD CITY, CA   94063"
PERFECT STRANGER TRUCKING 2 LLC,3857889,MC-1408344,"483 COBBLESTONE DR
 
 INMAN, SC   29349"
PFW TRANSPORTATION INC,3850584,MC-1403409,"1051 COLLEGE VIEW DR
 
 MONTEREY PARK, CA   91754"
PH MOVING & DELIVERY SERVICES LLC,3866962,MC-1414507,"12414 86TH PL NE
 
 KIRKLAND, WA   98034"
PHARROW TRANSPORTATION CORPORATION,3858499,MC-1408763,"894 BERKSHIRE PL
 
 CRETE, IL   60417"
PHILLIPS EXPRESS LLC,3770897,MC-1346020,"17186 US ROUTE 127
 
 CECIL, OH   45821-9424"
PHOENIX EXPRESS TRANSPORT & LOGISTICS LLC,3858299,MC-1408634,"1361 SW VICUNA LN
 
 PORT ST LUCIE, FL   34953"
PINCIO TRUCKING COMPANY LLC,3864633,MC-1412878,"2670 CHARWAY RD
 
 ODESSA, TX   79766"
PIOLA TRANSPORT LLC,3836606,MC-1393690,"11275 BAUMAN AVE
 
 OMAHA, NE   68164"
PIPO'S AUTO TRANSPORT LLC,3858142,MC-1408530,"19702 CRYSTAL ROCK DR APT 14
 
 GERMANTOWN, MD   20874"
PITBULL TRUCKING INC,3837418,MC-1394290,"250057 RANGE RD 261
 
 WHEATLAND COUNTY, AB   T1P 0T4"
PJ TRANSPORT LLC,3850498,MC-1403342,"4032 S HOMERUN AVE
 
 SIOUX FALLS, SD   57110"
PJDS TRANSPORTATION LLC,3861795,MC-1410967,"1253 N CICERO AVE
 
 BATON ROUGE, LA   70816"
PJN TRUCKING LLC,3845413,MC-1399876,"2225 EMERSON ST
 
 PHILADELPHIA, PA   19152"
PK MOVING CORPORATION,3816708,MC-1379571,"13413 MIDNIGHT BLUE PL
 
 CENTREVILLE, VA   20120"
PLATINUM LOGISTICS LLC,3866662,MC-1414318,"910 HALE PL STE 201
 
 CHULA VISTA, CA   91914"
PLATINUM MOVING & STORAGE LLC,3820426,MC-1382266,"396 SUSSEX ST APT 2
 
 PATERSON, NJ   07503"
PLK TRANSPORT LLC,3607439,MC-1227529,"7696 LAGUNA BEACH WAY
 
 ANTELOPE, CA   95843"
POINT WN LLC,3861090,MC-1410504,"8400 SUNSET BLVD APT 4809
 
 ROWLETT, TX   75088"
POLLARD EXPRESS LLC,3834274,MC-1392038,"1 LANFORD RD
 
 NEW CASTLE, DE   19720"
POPULAR LIFE STYLE LLC,3830984,MC-1389704,"5507 COLFAX AVE N
 
 BROOKLYN CTR, MN   55430"
POWER MOVES ENTERPRISE LLC,3846306,MC-1400490,"321 MEADOWLAKE DR
 
 DOWNINGTOWN, PA   19335"
POWERDIGM TRANSPORT LLC,3015186,MC-1025755,"104 W PLANT ST SUITE 11
 
 WINTER GARDEN, FL   34787"
POWERHOUSE TRANSPORT LLLP,3820385,MC-1382233,"7328 GRANT STREET
 
 SAVANNAH, GA   31406"
PR HOTSHOT TRUCKING LLC,3782730,MC-1354722,"8111 HIGHWAY 66
 
 KLAMATH FALLS, OR   97601"
PRECISE TIMING ENTERPRISE INC,3865156,MC-1413265,"701 GERVAIS ST STE 150
 
 COLUMBIA, SC   29201"
PRECISION FETCH LLC,3854572,MC-1406084,"15493 COUNTY ROAD 1225 E
 
 MC LEANSBORO, IL   62859"
PREMIER LOGISTICS AND TRUCKING LLC,3842020,MC-1411362,"730 SIGNATURE TRCE
 
 PALMETTO, GA   30268-2539"
PRESTIGE LINES INC,2791762,MC-931329,"1202 BUTTERMILK LN
 
 BATAVIA, IL   60510"
PRESTIGIOUS BROKERAGE LOGISTICS LLC,3857578,MC-1408138,"1929B OLD COLLINS CREEK RD
 
 MCCLELLANVLE, SC   29458"
PRICE TRANSPORT LLC,3862680,MC-1411543,"4810 W CAYMAN ST
 
 SIOUX FALLS, SD   57107"
PRIME ASSETS & LOGISTICS,3780676,MC-1353260,"2929 ARCH ST STE 1700
 
 PHILADELPHIA, PA   19104"
PRIME AUTO TRANSPORT LLC,3854642,MC-1406135,"20416 APPLE HARVEST CIR APT C
 
 GERMANTOWN, MD   20876"
PRIME FORCE LLC,3863547,MC-1412151,"6872 WILLOW BLOOM DR
 
 CANAL WNCHSTR, OH   43110"
PRIME HIRING SERVICES LLC,3500408,MC-1155145,"6470 HAWTHORNE RD
 
 LA PLATA, MD   20646"
PRIME MOTOR CARRIER INC,3864404,MC-1412714,"523 DAVIDS ST
 
 MARION, OH   43302"
PRIME SHIPPING SOLUTIONS INC,3853469,MC-1405348,"7747 BANKS ST
 
 JUSTICE, IL   60458"
PRIMELIGHT TRANSPORT LLC,3839428,MC-1404041,"356 MOURNING DOVE
 
 FLORESVILLE, TX   78114-3564"
PRIMM'S AUTOMOTIVE,3817611,MC-1380226,"801 E TRINITY LN
 
 NASHVILLE, TN   37207"
